"85","81","1982","7","False","2020-06-22 13:37:51"
"4","61","1669","4","False","1982-01-10 06:11:16"
"34","29","255","7","False","1970-03-06 15:18:39"
"11","65","1702","3","True","2014-01-22 18:20:42"
"25","81","167","8","False","1974-10-28 06:47:09"
"57","83","664","5","False","1974-03-26 18:35:30"
"15","3","1876","6","True","1987-06-11 02:07:34"
"65","15","1543","9","True","2016-07-18 16:33:25"
"78","53","14","4","False","2001-03-08 13:45:25"
"17","19","1503","1","True","2001-07-31 06:52:50"
"91","47","873","9","False","1988-01-17 04:19:44"
"39","13","135","2","False","1992-09-15 20:25:55"
"13","1","1410","9","False","1981-05-26 09:57:33"
"21","7","572","5","True","2004-04-01 16:51:47"
"7","83","1366","10","False","2008-07-29 11:19:56"
"25","71","1502","7","False","2016-01-05 17:18:03"
"45","33","73","8","True","2009-03-20 21:47:00"
"14","5","190","3","False","2020-06-23 07:20:16"
"11","7","225","2","False","1983-11-04 18:01:28"
"29","77","744","8","True","1984-12-10 10:45:37"
"60","89","34","1","False","1985-11-19 21:45:43"
"41","73","971","10","True","2006-02-21 19:01:57"
"13","93","982","1","True","1983-07-03 00:38:47"
"73","69","847","1","False","1996-04-27 00:48:10"
"37","27","1784","3","True","2004-10-15 01:26:45"
"88","53","1468","9","True","2012-02-07 10:52:01"
"51","47","919","3","True","2020-07-19 09:02:38"
"56","25","1509","5","False","2000-03-31 21:18:15"
"48","9","828","7","True","2003-07-10 20:52:23"
"56","87","1168","1","True","2008-01-12 15:32:02"
"17","27","1848","10","False","2001-10-26 02:42:05"
"54","97","1698","6","True","2003-04-05 10:04:30"
"86","11","1276","3","False","1999-12-19 10:55:29"
"32","75","1458","2","True","1999-08-09 06:57:31"
"68","1","1838","10","False","1978-09-08 10:40:50"
"68","91","1641","10","False","2008-12-31 21:13:43"
"88","39","1889","2","True","1991-02-14 11:17:04"
"63","15","1782","5","True","1983-05-19 23:51:24"
"95","79","1879","7","True","1987-12-10 20:07:03"
"30","33","760","7","True","1975-08-18 20:45:06"
"31","45","1541","3","True","2007-09-18 03:48:06"
"27","23","1088","5","False","2018-05-08 10:26:08"
"86","51","515","6","False","2009-07-13 00:24:25"
"70","27","538","7","False","2005-07-18 05:31:25"
"62","59","1498","9","False","1987-01-02 01:20:17"
"1","7","461","10","True","2022-02-24 19:46:36"
"31","11","1622","10","False","2020-05-12 08:03:56"
"49","7","1100","8","False","2009-06-01 22:49:41"
"52","51","147","1","False","2014-12-25 09:50:58"
"82","15","1992","4","True","1982-04-14 01:51:05"
"24","79","291","8","False","2013-07-12 14:06:23"
"43","57","1286","6","False","2016-05-17 19:44:28"
"43","33","1720","6","True","1978-09-03 04:55:44"
"85","15","1958","9","True","2000-01-12 00:00:33"
"50","1","1315","6","True","2007-11-21 12:24:48"
"66","7","1183","6","True","2005-12-02 02:01:35"
"80","9","1862","8","True","1986-12-30 05:29:42"
"84","39","1092","10","True","1997-09-28 18:13:47"
"57","67","238","4","False","2002-06-30 07:38:07"
"12","53","780","7","True","1991-11-23 04:47:36"
"31","93","915","2","True","1998-02-23 22:54:14"
"65","67","422","10","True","1981-02-26 10:50:11"
"80","47","1625","5","True","1976-10-09 07:40:23"
"46","67","690","8","True","1985-09-10 10:51:40"
"16","69","1344","3","False","1982-05-27 23:58:38"
"39","5","907","1","True","2021-04-23 07:33:28"
"31","63","1970","1","False","1980-02-10 10:49:17"
"21","9","73","7","False","1998-05-24 20:13:29"
"60","81","1711","1","False","2020-04-14 04:49:40"
"44","73","918","1","True","1999-10-05 13:17:43"
"30","11","1069","1","True","1971-06-06 03:22:46"
"56","45","1551","10","False","1976-07-04 16:02:09"
"90","81","422","6","False","1987-03-12 21:57:13"
"7","81","832","4","False","2016-05-24 10:51:59"
"0","29","222","4","True","2014-03-15 00:02:38"
